"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME"
"ENSG00000280881",184.330359059094,-25.3912697853583,2.74939409977877,-9.23522378527013,2.57746663699233e-20,3.72607168599068e-16,"RP11-275E15.2","RP11-275E15.2"
"ENSG00000204711",302.069534582263,-26.0729649510465,2.98671088962464,-8.7296581137531,2.55443613034106e-18,1.84638900894603e-14,"C9orf135","C9orf135"
"ENSG00000259383",281.204738615267,-25.9446424196917,2.98671702281088,-8.68667577863619,3.73199293131546e-18,2.31218287768886e-14,"RP11-403B2.6","RP11-403B2.6"
"ENSG00000225244",40.1804350001611,-8.79946055353421,1.0633517528686,-8.27521140562937,1.28227908546528e-16,5.05556015068579e-13,"RP11-220H4.2","RP11-220H4.2"
"ENSG00000185594",47.526531429163,-23.5010612141209,2.98715337565729,-7.86737681621379,3.62154572528598e-15,3.27214201166516e-12,"SPATA8","SPATA8"
"ENSG00000227131",46.5018034506352,-23.4691929305717,2.98716490094435,-7.8566780572282,3.9445498511675e-15,3.31967264620906e-12,"RP11-552E20.1","RP11-552E20.1"
"ENSG00000204655",42.9833876777899,-23.271264869699,2.9872091883203,-7.79030305634016,6.68486613298344e-15,4.39183098966585e-12,"MOG","MOG"
"ENSG00000171201",39.043250068284,-23.1911709830123,2.9872673478391,-7.76333962870384,8.27217040276344e-15,4.69037854259431e-12,"SMR3B","SMR3B"
"ENSG00000204460",37.1262782794548,-23.1548058717244,2.9873004664945,-7.75108032533994,9.11140254797757e-15,4.82937793676217e-12,"AC079586.1","AC079586.1"
"ENSG00000225451",35.3191157442389,-23.0821157708862,2.98733485298223,-7.72665834492694,1.10406443203475e-14,4.99458052226599e-12,"RP11-340I6.5","RP11-340I6.5"
"ENSG00000260922",35.5730267965888,-23.071919468893,2.98732996830053,-7.72325779666664,1.13393507907468e-14,4.99458052226599e-12,"RP11-538I12.3","RP11-538I12.3"
"ENSG00000242152",32.960057281278,-22.9867520590021,2.98738562115065,-7.69460490679752,1.4193205409125e-14,5.48655551819214e-12,"RP11-639F1.3","RP11-639F1.3"
"ENSG00000255606",32.6829704576165,-22.9759799620724,2.9873919097211,-7.69098285608514,1.46009000048396e-14,5.49011432471906e-12,"AP000439.2","AP000439.2"
"ENSG00000258460",32.5822333075694,-22.9726245812107,2.98739437820986,-7.68985332126672,1.47303803152828e-14,5.49011432471906e-12,"RP11-168L7.1","RP11-168L7.1"
"ENSG00000231165",31.891941052249,-22.9429894405168,2.98741071127193,-7.67989126970377,1.59223674254389e-14,5.52429722299086e-12,"TRBV26OR9-2","TRBV26OR9-2"
"ENSG00000172938",30.3862424181488,-22.8727049982041,2.98744984211621,-7.65626410718308,1.91419865613202e-14,6.10769139322457e-12,"MRGPRD","MRGPRD"
"ENSG00000260218",30.6222504376737,-22.8852423359038,2.98744319484903,-7.66047782108885,1.85242579617036e-14,6.10769139322457e-12,"RP11-170L3.6","RP11-170L3.6"
"ENSG00000278694",30.6373417045393,-22.8866865384956,2.98744280675323,-7.66096224060236,1.8454511553327e-14,6.10769139322457e-12,"RP11-137P24.5","RP11-137P24.5"
"ENSG00000225768",36.0162494368889,-22.2159657185201,2.9873211221275,-7.43675179543415,1.03191175413103e-13,1.33590987656444e-11,"RP11-127O4.3","RP11-127O4.3"
