"ENSEMBL","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","GENENAME"
"ENSG00000231240",125.598301469793,25.550185181686,2.36637199235359,10.7971972556495,3.54870961953875e-27,1.53903987489776e-22,"KLF2P1","KLF2P1"
"ENSG00000222179",66.9454470312425,9.52881393015403,1.01717445339096,9.36792493990361,7.39724689717408e-21,1.60405600341771e-16,"RN7SKP26","RN7SKP26"
"ENSG00000230088",124.961079079518,25.5440887841569,2.8269552468832,9.03590136855547,1.62656322398194e-19,1.76356051152182e-15,"KRT16P5","KRT16P5"
"ENSG00000240086",86.3223463929422,25.0125361687697,2.82525498190192,8.85319602265832,8.50481016037213e-19,7.37690223690358e-15,"RP11-657O9.1","RP11-657O9.1"
"ENSG00000166426",61.8765055937359,24.5771042322201,2.9446104731954,8.346470426545,7.03332429611467e-17,3.61323767081968e-13,"CRABP1","CRABP1"
"ENSG00000231107",61.3516353647329,24.5736294803801,2.94686572630127,8.33890369047236,7.49824506845376e-17,3.61323767081968e-13,"LINC01508","LINC01508"
"ENSG00000171481",58.0113955430017,24.496448242508,2.95760672092094,8.28252386269945,1.20591784081289e-16,5.05556015068579e-13,"OR1L3","OR1L3"
"ENSG00000152266",59.9816464025258,24.2509684353954,2.94964994932206,8.22164285662753,2.00734207572936e-16,7.25470154019222e-13,"PTH","PTH"
"ENSG00000168930",57.9383723898757,24.4502219139611,2.98705848901488,8.18538438530028,2.71435864892369e-16,9.05530924962857e-13,"TRIM49","TRIM49"
"ENSG00000235855",53.9317731084089,24.3914661007515,2.98709039236937,8.16562704733021,3.19769792408619e-16,9.90578294783529e-13,"OR7E145P","OR7E145P"
"ENSG00000270981",50.1712872310737,24.2857689656895,2.98712495221864,8.13014833800363,4.28765419934052e-16,1.23967516647466e-12,"RP11-550I24.3","RP11-550I24.3"
"ENSG00000170374",48.6308265657943,24.2355911427744,2.98714111353996,8.1133064095702,4.92606472476713e-16,1.2843123231259e-12,"SP7","SP7"
"ENSG00000203972",46.670320953906,24.2004286514645,2.98716201194447,8.10147844499112,5.42952662998954e-16,1.2843123231259e-12,"GLYATL3","GLYATL3"
"ENSG00000237706",48.9806980722566,24.1872684566911,2.98713687417907,8.09714100005488,5.62658445880515e-16,1.2843123231259e-12,"TRIM51EP","TRIM51EP"
"ENSG00000260303",49.0799269644221,24.2030344720357,2.9871358958643,8.10242162251302,5.38758518012808e-16,1.2843123231259e-12,"RP11-203B7.2","RP11-203B7.2"
"ENSG00000182477",49.55999206478,24.118901786184,2.98713099807653,8.07426986018175,6.78815996568023e-16,1.47197854775793e-12,"OR2B8P","OR2B8P"
"ENSG00000165694",42.7253447309763,24.0815727152052,2.98721104896274,8.06155719180509,7.53286361179207e-16,1.55567981895148e-12,"FRMD7","FRMD7"
"ENSG00000254939",39.6834144179427,23.9809372281943,2.98725561839076,8.02774864010896,9.92776222215513e-16,1.95707781733021e-12,"CTD-2342I9.1","CTD-2342I9.1"
"ENSG00000125831",38.175114849616,23.9277722633503,2.98728032379188,8.00988513624919,1.14815628642521e-15,2.16497347765108e-12,"CST11","CST11"
"ENSG00000241439",37.0208564256071,23.8858860399508,2.98730051495765,7.99580956798697,1.28725211429663e-15,2.32611820603878e-12,"RP11-666A20.3","RP11-666A20.3"
"ENSG00000226992",37.2396300201304,23.8531681872209,2.98729669773284,7.98486745736503,1.40673372480265e-15,2.34648595811408e-12,"AC144525.1","AC144525.1"
